"","luICol_0","col_4","col_16","b_0","col_11","m_0","i_26","row_1","i_14","i_0"
"1",1,0.01141414141414,0.00692929292929245,0.00620202020201999,0.00733333333333319,0.00672727272727247,0.0109494949494937,0.00612121212121153,0.0102020202020187,0.00446464646464584
"2",1,0.00391919191919143,0.00701010101009958,0.00527272727272676,0.00501010101010146,0.00781818181818106,0.00812121212121042,0.0105454545454536,0.0063232323232324,0.00802020202020237
"3",1,0.00888888888888839,0.0101212121212112,0.00806060606060549,0.00741414141414165,0.00698989898989832,0.00927272727272654,0.00682828282828218,0.00442424242424266,0.00682828282828229
"4",1,0.0100202020202009,0.00840404040404008,0.00610101010100828,0.00525252525252529,0.00616161616161504,0.00573737373737315,0.0111919191919176,0.00711111111111062,0.00747474747474652
"5",1,0.00765656565656492,0.00682828282828185,0.00773737373737271,0.00880808080808038,0.00470707070707033,0.00719191919191897,0.00850505050505024,0.00759595959595838,0.00539393939393906
"6",1,0.00583838383838342,0.00836363636363546,0.00583838383838309,0.0052727272727261,0.00892929292929134,0.00587878787878726,0.00602020202020126,0.0105454545454537,0.00826262626262608
"7",1,0.00725252525252573,0.00810101010100955,0.0041818181818184,0.00991919191919066,0.00559595959595971,0.00664646464646435,0.00696969696969663,0.0090707070707069,0.00696969696969651
"8",1,0.00602020202020204,0.00355555555555587,0.00735353535353389,0.0039393939393928,0.011070707070706,0.00814141414141301,0.0100808080808076,0.00737373737373626,0.00892929292929234
"9",1,0.0119797979797964,0.0111515151515134,0.0101212121212112,0.00985858585858496,0.00963636363636183,0.00937373737373631,0.00935353535353456,0.00933333333333231,0.00931313131312994
"10",1,0.00630303030303025,0.00646464646464584,0.00559595959595982,0.00745454545454483,0.00638383838383738,0.00434343434343454,0.00614141414141334,0.00646464646464606,0.00808080808080808
"11",1,0.00792929292929236,0.00769292929292853,0.00664646464646396,0.00702626262626213,0.00740202020201935,0.00756565656565582,0.00817575757575685,0.0078444444444438,0.00737373737373691
