"","t_0","AiiJ_0","ab_0","t_3","recp_0","sum_6","t_4","ab_1","sum_7","sum_1","sum_0","t_1","t_2","sum_3","sum_2","sum_4","j_13","i_12","j_27","i_13","lu_0","jp_0","i_2","ii_5","M_2","minMN_1","M_5","i_9","Nd_0","j_0","j_22","j_8","j_3","ii_3","j_12","j_21","i_3","N_2","ii_4","i_10","j_11","N_7","i_11","ii_6","i_7","M_0","j_5","i_25","jp_3","minMN_0","ii_0","j_25","j_2","M_6","i_1","k_1","N_1","i_26","k_0","j_18","i_5","N_3","M_3","M_4","i_18","j_6","jj_0","jj_2","k_2","j_20","jp_4","i_14","j_15","i_0","N_0","i_8","jj_1","ii_7","minMN_2","jp_2","i_23","j_24","j_1","i_20","ii_1","N_4","i_15","sum_5","i_16","j_17","jp_1","i_24","j_7","j_23","j_16","ip_0","N_6","i_4","j_26","j_19","i_21","j_10","j_4","i_17","N_5","i_19","remainder_0","M_1","j_14","ii_2","i_22","j_9","i_6"
"1",1,1,0.538963503460993,0.510830615922653,0.366060606060607,0.283451692867196,0.276585858585859,0.274046350454146,0.263920000232455,0.211638281199982,0.205177728450751,0.18847683524259,0.18460007213444,0.145596429156157,0.142361296202734,0.112366524380767,0.0114141414141417,0.00969696969696965,0.00947474747474775,0.0089898989899001,0.00898989898989822,0.00890909090909153,0.00888888888888895,0.00884848484848566,0.00848484848484887,0.00840404040404064,0.00832323232323318,0.00810101010100939,0.00793939393939325,0.00789898989899018,0.00785858585858612,0.00777777777777866,0.00773737373737415,0.00765656565656636,0.007636363636364,0.00749494949495,0.00745454545454594,0.00743434343434313,0.00741414141414143,0.00739393939393951,0.0072929292929298,0.00725252525252573,0.00717171717171761,0.00717171717171694,0.0071111111111124,0.00709090909090948,0.00705050505050664,0.00696969696969763,0.00688888888888906,0.00686868686868702,0.00682828282828318,0.00682828282828274,0.00682828282828263,0.00680808080808071,0.00674747474747439,0.00672727272727358,0.00666666666666593,0.00662626262626331,0.00656565656565689,0.00652525252525371,0.00652525252525205,0.00652525252525193,0.00646464646464717,0.00646464646464684,0.00634343434343432,0.00624242424242361,0.00622222222222191,0.00616161616161615,0.00604040404040496,0.00602020202020193,0.00587878787878859,0.00587878787878748,0.00583838383838398,0.00579797979797991,0.0057777777777781,0.00573737373737404,0.00573737373737326,0.00571717171717268,0.00569696969697009,0.00565656565656536,0.00559595959595938,0.00557575757575757,0.00529292929292968,0.00529292929292968,0.00527272727272743,0.00527272727272732,0.00521212121212122,0.00515151515151591,0.00515151515151535,0.00513131313131288,0.00509090909090926,0.00507070707070811,0.00507070707070656,0.00501010101010102,0.00488888888888894,0.00488888888888872,0.00484848484848499,0.00476767676767731,0.00476767676767653,0.00470707070707133,0.00470707070707099,0.00462626262626342,0.00462626262626242,0.00448484848484831,0.00440404040404108,0.0043636363636359,0.00410101010101016,0.00400000000000023,0.00377777777777788,0.00305050505050519,0.0029494949494957,0.0026262626262622,0.00260606060605972
"2",1,1,0.54009811570486,0.491520972334549,0.354040404040406,0.282560535474544,0.286747474747475,0.288469407874918,0.295099660808003,0.214099651575954,0.213566990290757,0.180936762159684,0.183065738025945,0.149817263887356,0.149913793794172,0.113151673492463,0.00555555555555554,0.0079999999999999,0.00561616161616241,0.00705050505050586,0.00541414141414109,0.00606060606060588,0.00763636363636322,0.00636363636363657,0.00652525252525271,0.00589898989898963,0.0043838383838386,0.00684848484848455,0.00957575757575779,0.00579797979797991,0.00771717171717268,0.00561616161616252,0.00793939393939358,0.00579797979797936,0.00791919191919255,0.00535353535353522,0.00660606060606084,0.00656565656565666,0.00604040404040418,0.00862626262626187,0.00654545454545385,0.00472727272727314,0.00543434343434412,0.00810101010101061,0.00707070707070734,0.0053737373737377,0.00355555555555587,0.00616161616161681,0.00589898989898963,0.00610101010101005,0.00626262626262619,0.00551515151515158,0.00632323232323262,0.00456565656565688,0.00595959595959605,0.0081616161616167,0.00929292929292935,0.00234343434343487,0.0054747474747483,0.00589898989898985,0.00620202020201999,0.00480808080808037,0.00375757575757607,0.00812121212121275,0.00317171717171671,0.00755555555555631,0.00466666666666637,0.00569696969696976,0.00787878787878882,0.00783838383838409,0.0061616161616157,0.00593939393939535,0.00329292929292935,0.00523232323232292,0.00484848484848477,0.0055959595959596,0.00709090909090904,0.0075151515151517,0.00719191919191864,0.010080808080808,0.00674747474747539,0.0068888888888885,0.0069090909090912,0.00468686868686885,0.00690909090909131,0.00565656565656525,0.00579797979797991,0.00638383838383882,0.00539393939393906,0.00335353535353555,0.00573737373737404,0.00874747474747561,0.0071515151515158,0.00557575757575779,0.00460606060606039,0.0055555555555562,0.00377777777777755,0.00741414141414187,0.00731313131313183,0.00616161616161592,0.00416161616161637,0.0101010101010112,0.00521212121212034,0.00634343434343398,0.00507070707070745,0.00573737373737437,0.00571717171717179,0.00367676767676717,0.0103232323232322,0.00892929292929356,0.00933333333333375,0.00373737373737415,0.00559595959596015
"3",1,1,0.543896679434933,0.506786796569076,0.346545454545457,0.300177294789276,0.276868686868687,0.272195967458112,0.27597470780988,0.205554196785603,0.208471963518509,0.177112187654154,0.181326760873588,0.14875719377083,0.145740298809011,0.106241721633469,0.00644444444444481,0.0041818181818174,0.00690909090909075,0.00606060606060577,0.00575757575757574,0.00795959595959517,0.0060202020202017,0.00599999999999989,0.00531313131313094,0.00430303030303025,0.00442424242424233,0.00698989898989932,0.00804040404040374,0.00749494949494978,0.00767676767676773,0.00446464646464584,0.00711111111111085,0.0082626262626263,0.00907070707070778,0.00640404040404052,0.00430303030303081,0.00626262626262675,0.00690909090909109,0.00381818181818128,0.00743434343434346,0.00355555555555576,0.00658585858585758,0.004,0.0082020202020201,0.00569696969696987,0.0053939393939394,0.00527272727272732,0.00511111111111073,0.00537373737373747,0.00797979797979798,0.0085050505050499,0.0088080808080816,0.00765656565656625,0.00721212121212145,0.00404040404040429,0.0067474747474745,0.00426262626262663,0.00618181818181851,0.00626262626262641,0.00921212121212089,0.00961616161616097,0.00632323232323317,0.0048686868686868,0.0107878787878787,0.00476767676767709,0.00945454545454472,0.00458585858585825,0.00741414141414254,0.00773737373737438,0.00573737373737415,0.00785858585858568,0.00793939393939458,0.00646464646464739,0.00630303030303059,0.0046666666666666,0.00480808080807993,0.00529292929293024,0.00410101010100983,0.00769696969697087,0.00882828282828296,0.00644444444444459,0.00581818181818183,0.00428282828282911,0.00717171717171772,0.0034545454545446,0.0056969696969702,0.00690909090909109,0.00830303030302992,0.00692929292929267,0.00761616161616174,0.00793939393939469,0.00721212121212167,0.00676767676767653,0.0052525252525254,0.00694949494949426,0.0043636363636369,0.00531313131313116,0.00404040404040373,0.00727272727272688,0.00444444444444292,0.00597979797979786,0.00610101010101094,0.00719191919191975,0.00624242424242416,0.00533333333333352,0.00783838383838509,0.00729292929292824,0.00557575757575779,0.0054747474747473,0.00462626262626187,0.00440404040404063,0.00664646464646457
"4",1,1,0.539730981721892,0.503516160819379,0.378404040404042,0.293399379990086,0.251010101010101,0.279102580428674,0.305331620866283,0.212895676263924,0.224398314751813,0.18822923946946,0.202279419375611,0.142784997057515,0.131822389035044,0.107196172410943,0.00616161616161581,0.00408080808080868,0.00565656565656592,0.00579797979798002,0.00442424242424255,0.00460606060606095,0.00266666666666704,0.00515151515151513,0.00842424242424211,0.00573737373737415,0.00632323232323206,0.00460606060606139,0.00464646464646423,0.00717171717171805,0.00660606060606095,0.00781818181818139,0.00444444444444414,0.00692929292929356,0.00963636363636411,0.0038383838383842,0.00672727272727225,0.00919191919191931,0.00810101010101061,0.00602020202020193,0.0052323232323227,0.00331313131313182,0.00464646464646523,0.00711111111111107,0.0107878787878787,0.00466666666666671,0.00545454545454616,0.00608080808080835,0.00391919191919254,0.0064444444444437,0.00678787878787901,0.0104848484848484,0.0041212121212113,0.00450505050505001,0.00670707070707133,0.0050909090909087,0.00632323232323195,0.00703030303030294,0.00644444444444425,0.00608080808080802,0.00989898989899052,0.00597979797979753,0.00599999999999967,0.0081010101010105,0.00624242424242516,0.00684848484848444,0.00828282828282889,0.00959595959595927,0.00484848484848521,0.00715151515151558,0.0047474747474745,0.00711111111111196,0.0037979797979798,0.00771717171717134,0.00741414141414198,0.00743434343434346,0.00452525252525271,0.00945454545454583,0.00381818181818105,0.00921212121212112,0.00476767676767631,0.00303030303030305,0.00535353535353489,0.00846464646464651,0.00509090909090959,0.0108080808080815,0.00492929292929289,0.00476767676767686,0.00636363636363613,0.00523232323232325,0.00725252525252573,0.00860606060606095,0.00606060606060599,0.00541414141414198,0.00383838383838386,0.00547474747474674,0.00652525252525205,0.00565656565656525,0.00563636363636411,0.00719191919191964,0.00719191919191964,0.00529292929292924,0.00484848484848521,0.00644444444444403,0.00547474747474663,0.00686868686868758,0.00545454545454593,0.00658585858585869,0.00816161616161681,0.00753535353535362,0.00618181818181862,0.00638383838383938,0.0077373737373746
"5",1,1,0.540116942840691,0.498049384249086,0.355434343434345,0.30818949665032,0.276141414141414,0.27674041305712,0.309470042018378,0.213351747654609,0.224071294846513,0.173310131012548,0.188193298454805,0.145266497690351,0.143960750764804,0.105355933651923,0.00602020202020204,0.00751515151515103,0.00715151515151502,0.00428282828282789,0.00527272727272754,0.00820202020202065,0.00634343434343509,0.00674747474747495,0.00535353535353555,0.00646464646464662,0.00735353535353578,0.00448484848484876,0.00468686868686941,0.00783838383838431,0.00658585858585858,0.00549494949495,0.00848484848484843,0.00587878787878759,0.0086262626262632,0.0051515151515148,0.00587878787878748,0.00430303030303081,0.00545454545454582,0.00737373737373714,0.00383838383838475,0.0049696969696974,0.00626262626262575,0.00612121212121275,0.00446464646464706,0.00602020202020159,0.00456565656565677,0.00581818181818183,0.00331313131313116,0.0104646464646466,0.00967676767676706,0.00357575757575801,0.00686868686868725,0.00668686868686841,0.00587878787878748,0.00648484848484854,0.00618181818181862,0.00517171717171672,0.00729292929293024,0.00604040404040485,0.00604040404040318,0.00583838383838364,0.00248484848484887,0.00767676767676817,0.00484848484848521,0.00733333333333341,0.00434343434343432,0.00684848484848588,0.00852525252525183,0.00626262626262553,0.00573737373737337,0.00428282828282855,0.00682828282828307,0.00608080808080758,0.00719191919191864,0.00761616161616152,0.00652525252525338,0.0034747474747473,0.00545454545454549,0.00585858585858512,0.00834343434343332,0.00864646464646457,0.00602020202020104,0.00472727272727258,0.00416161616161692,0.00511111111111173,0.00666666666666704,0.00759595959595949,0.00622222222222313,0.00591919191919166,0.00521212121212222,0.00608080808080835,0.00416161616161692,0.00909090909090915,0.00391919191919177,0.00773737373737493,0.00583838383838309,0.00692929292929345,0.00719191919191875,0.00523232323232226,0.00723232323232292,0.00517171717171738,0.0101414141414143,0.00454545454545419,0.00593939393939436,0.00456565656565699,0.00610101010101127,0.00529292929292968,0.00432323232323251,0.00589898989899107,0.00383838383838409,0.00557575757575723,0.0072525252525254
"6",1,1,0.537468290097495,0.501716245228846,0.352101010101012,0.302174808202989,0.271616161616162,0.283198035050391,0.309454751422678,0.214987281997189,0.209179533085283,0.175693392164908,0.185723240390325,0.137790394608856,0.139106970675228,0.111204330549473,0.00634343434343498,0.00850505050505035,0.0058787878787887,0.00565656565656636,0.00515151515151469,0.00690909090909153,0.00622222222222291,0.00749494949495,0.00527272727272776,0.00569696969696953,0.00739393939394006,0.00600000000000001,0.00630303030303014,0.0064848484848482,0.00688888888888883,0.0043838383838386,0.00703030303030305,0.0073737373737377,0.00763636363636366,0.00703030303030283,0.0059393939393938,0.00602020202020259,0.00509090909091026,0.00981818181818173,0.00662626262626187,0.00587878787878848,0.00896969696969796,0.00836363636363613,0.00612121212121308,0.00709090909090881,0.00696969696969618,0.00632323232323195,0.00640404040404097,0.0077575757575763,0.00787878787878815,0.00628282828282867,0.00888888888888895,0.00511111111111173,0.00571717171717145,0.00824242424242516,0.00282828282828229,0.00496969696969751,0.0057979797979808,0.00761616161616163,0.00529292929292957,0.00622222222222202,0.00418181818181784,0.00579797979797947,0.00280808080808104,0.00581818181818128,0.00585858585858567,0.00719191919191942,0.00337373737373781,0.00743434343434324,0.00644444444444447,0.00476767676767731,0.00696969696969663,0.00478787878787967,0.00650505050505046,0.00569696969696964,0.00745454545454571,0.00860606060606073,0.00763636363636389,0.00488888888888872,0.0055757575757579,0.00620202020202076,0.00458585858585903,0.00703030303030239,0.00694949494949471,0.00509090909090848,0.0111111111111113,0.00579797979797969,0.00644444444444414,0.00440404040404119,0.00523232323232281,0.00476767676767686,0.00660606060606039,0.00745454545454538,0.00456565656565588,0.00854545454545463,0.00686868686868669,0.00559595959595993,0.00591919191919166,0.00379797979798002,0.00797979797979753,0.00426262626262641,0.00604040404040385,0.00717171717171694,0.00359595959595993,0.00606060606060665,0.0074747474747473,0.00640404040404008,0.00474747474747605,0.00440404040404097,0.00804040404040463,0.00616161616161659,0.00581818181818206
"7",1,1,0.543477017025073,0.491489693186582,0.355333333333335,0.300283115484683,0.282909090909091,0.283192598874596,0.286136994630977,0.213461658643463,0.214832573416406,0.184044497725685,0.181557703164888,0.147660860285983,0.131983854815753,0.107577295889976,0.00755555555555598,0.00329292929293012,0.00898989898989877,0.00709090909090881,0.00438383838383882,0.00444444444444436,0.00785858585858534,0.00472727272727247,0.0040202020202027,0.00543434343434324,0.00707070707070723,0.00656565656565677,0.00694949494949482,0.0054747474747483,0.00626262626262553,0.00315151515151546,0.00820202020201932,0.00519191919191886,0.00484848484848466,0.00460606060606061,0.00527272727272754,0.00585858585858601,0.00622222222222246,0.00640404040404063,0.00466666666666737,0.00446464646464617,0.00830303030303048,0.0110303030303033,0.00503030303030272,0.00890909090908987,0.00634343434343476,0.00789898989898929,0.00559595959596026,0.0069090909090912,0.00589898989899007,0.00783838383838387,0.00979797979797992,0.00454545454545408,0.00343434343434323,0.00418181818181806,0.00783838383838342,0.00565656565656547,0.00383838383838353,0.00468686868686841,0.00288888888888994,0.00448484848484809,0.00917171717171816,0.00482828282828285,0.00474747474747406,0.00678787878787834,0.00583838383838453,0.00440404040404052,0.00747474747474786,0.00888888888888928,0.00812121212121197,0.0083232323232324,0.00620202020201988,0.00765656565656625,0.0063636363636369,0.00486868686868736,0.0069292929292929,0.00472727272727314,0.00626262626262575,0.00896969696969718,0.00993939393939458,0.00559595959595882,0.00373737373737337,0.00597979797979775,0.00460606060606072,0.00684848484848477,0.00749494949494967,0.00599999999999989,0.00426262626262641,0.0068484848484851,0.00476767676767653,0.00315151515151568,0.00422222222222268,0.00830303030302948,0.00557575757575768,0.00492929292929334,0.00533333333333319,0.006424242424243,0.00480808080808137,0.00703030303030383,0.0054343434343429,0.0043434343434342,0.00456565656565633,0.00559595959595993,0.0087474747474745,0.00852525252525294,0.00484848484848432,0.00571717171717145,0.00622222222222202,0.00579797979798002,0.00642424242424289,0.00228282828282855,0.00678787878787968
"8",1,1,0.54121259780629,0.496253811646017,0.357515151515153,0.298629171385731,0.273838383838384,0.278501063378397,0.283384051429063,0.218980924966133,0.216286727120754,0.172767298333504,0.178013584299225,0.148714787273891,0.144038882977163,0.109716962721616,0.00474747474747461,0.00650505050505046,0.00751515151515125,0.00406060606060565,0.00892929292929223,0.00832323232323273,0.00870707070707044,0.00820202020202099,0.00713131313131365,0.00484848484848499,0.00501010101010124,0.0031111111111114,0.00286868686868691,0.00804040404040463,0.0105454545454546,0.00636363636363624,0.00650505050505024,0.00442424242424266,0.00945454545454583,0.00377777777777721,0.00713131313131299,0.0101414141414137,0.00725252525252529,0.00822222222222257,0.00711111111111062,0.00535353535353489,0.00684848484848499,0.00511111111111084,0.0075151515151517,0.00610101010100994,0.00549494949494966,0.00547474747474763,0.00898989898989944,0.00371717171717201,0.00824242424242305,0.0067878787878789,0.00676767676767764,0.00410101010100961,0.00666666666666649,0.00470707070707133,0.0092929292929298,0.00575757575757629,0.00713131313131365,0.00606060606060588,0.00553535353535373,0.00707070707070756,0.00404040404040418,0.00658585858585836,0.00654545454545508,0.00442424242424289,0.00874747474747439,0.00478787878787901,0.00608080808080846,0.00694949494949482,0.00478787878787823,0.00541414141414165,0.0073131313131316,0.00818181818181873,0.00727272727272776,0.00543434343434412,0.00579797979797925,0.00418181818181829,0.00444444444444458,0.00446464646464684,0.00701010101010124,0.00686868686868702,0.00414141414141378,0.00654545454545463,0.00907070707070723,0.00955555555555576,0.00494949494949526,0.00492929292929312,0.00862626262626243,0.00709090909090904,0.00602020202020226,0.00430303030303125,0.00682828282828296,0.0072727272727271,0.00741414141414132,0.00755555555555598,0.0066060606060615,0.00709090909090926,0.00634343434343398,0.00826262626262642,0.00690909090909109,0.0063838383838386,0.00662626262626209,0.00694949494949448,0.007212121212121,0.00668686868686941,0.00529292929292924,0.00741414141414143,0.00567676767676739,0.00652525252525216,0.00563636363636466,0.00410101010101027,0.00448484848484909
"9",1,1,0.541689594428562,0.497030071134009,0.347737373737376,0.288980209462367,0.293434343434343,0.27701297739288,0.276798203800201,0.208488753208384,0.215281800915289,0.178229791509233,0.183779466683874,0.141125888141108,0.141165104128649,0.11153956085663,0.00692929292929301,0.00482828282828285,0.00484848484848432,0.00573737373737448,0.00557575757575812,0.00602020202020226,0.00408080808080757,0.00416161616161614,0.00759595959595916,0.00616161616161759,0.00658585858585947,0.00779797979798014,0.00363636363636355,0.00505050505050442,0.00521212121212111,0.00662626262626254,0.00680808080808104,0.00537373737373759,0.00628282828282878,0.00577777777777766,0.00977777777777744,0.00705050505050453,0.00575757575757618,0.00515151515151546,0.00705050505050553,0.00737373737373825,0.00874747474747462,0.00507070707070734,0.00804040404040429,0.00701010101010091,0.00927272727272765,0.00472727272727302,0.00583838383838298,0.00515151515151546,0.00634343434343365,0.00363636363636421,0.00486868686868669,0.00769696969697031,0.00541414141414132,0.00478787878787867,0.00545454545454582,0.00551515151515181,0.0062424242424246,0.00759595959595893,0.00713131313131299,0.00759595959595982,0.00428282828282844,0.0100808080808084,0.00456565656565633,0.00448484848484909,0.0100808080808076,0.00664646464646479,0.00567676767676728,0.00991919191919233,0.00567676767676861,0.00690909090909086,0.00812121212121186,0.00711111111111118,0.00810101010101005,0.00812121212121286,0.00604040404040407,0.00575757575757496,0.00755555555555565,0.0050909090909097,0.0081616161616167,0.00252525252525404,0.00775757575757596,0.00535353535353578,0.00725252525252451,0.00608080808080858,0.00715151515151569,0.00614141414141378,0.00739393939393973,0.00628282828282833,0.00577777777777821,0.00575757575757641,0.00474747474747528,0.0056363636363651,0.0080808080808078,0.00646464646464673,0.00614141414141434,0.00826262626262619,0.00741414141414054,0.00448484848484898,0.00668686868686819,0.00452525252525282,0.00816161616161626,0.00707070707070701,0.00628282828282922,0.00468686868686885,0.00545454545454671,0.00389898989899029,0.00458585858585903,0.00682828282828385,0.00747474747474786,0.00642424242424156,0.0063232323232324
"10",1,1,0.538097816436994,0.506342977299817,0.362626262626265,0.282092531481584,0.277030303030303,0.289296610336677,0.298479821411908,0.210274288958409,0.213735890397849,0.175810571606467,0.180817787579817,0.152699797615567,0.136867547831359,0.105704535121288,0.00739393939393973,0.00747474747474752,0.00640404040403975,0.00406060606060599,0.00555555555555598,0.00579797979797991,0.00701010101010158,0.00492929292929334,0.00640404040403986,0.00555555555555665,0.00640404040404052,0.0086262626262642,0.00254545454545463,0.00642424242424233,0.00430303030303048,0.00581818181818228,0.00967676767676739,0.00644444444444425,0.00591919191919132,0.00852525252525227,0.00892929292929256,0.0078181818181815,0.00422222222222313,0.00630303030303048,0.0079797979797972,0.00779797979797991,0.0105858585858586,0.00628282828282867,0.00385858585858523,0.00597979797979742,0.00389898989898951,0.00349494949494955,0.00462626262626209,0.0047676767676762,0.0044848484848492,0.00703030303030361,0.00573737373737426,0.00658585858585803,0.00761616161616208,0.00606060606060677,0.00844444444444459,0.00383838383838364,0.00640404040404008,0.00682828282828241,0.00414141414141433,0.00529292929292924,0.00385858585858623,0.00656565656565666,0.00648484848484787,0.00486868686868713,0.00589898989899007,0.00785858585858634,0.00551515151515114,0.0061616161616157,0.0073737373737377,0.00496969696969662,0.00523232323232292,0.00440404040404019,0.0052727272727261,0.00351515151515158,0.00628282828282845,0.00389898989898929,0.00393939393939502,0.00674747474747561,0.00860606060606173,0.00466666666666637,0.00608080808080902,0.00602020202020226,0.00781818181818239,0.00638383838383816,0.00729292929292957,0.0056767676767685,0.00638383838383816,0.00690909090909142,0.00733333333333386,0.00632323232323218,0.00547474747474841,0.00521212121212167,0.00606060606060599,0.00531313131313238,0.00527272727272809,0.00670707070707066,0.00385858585858745,0.00793939393939391,0.0088282828282833,0.0091919191919192,0.00581818181818139,0.00866666666666716,0.00551515151515203,0.00644444444444459,0.00539393939394006,0.00511111111111129,0.00698989898989977,0.00648484848484809,0.00640404040404086,0.00393939393939413,0.00565656565656514
