"","t_0","AiiJ_0","ab_0","t_3","recp_0","t_4","sum_6","ab_1","sum_7","sum_0"
"1",1,1,0.538963503460993,0.510830615922653,0.366060606060607,0.276585858585859,0.283451692867196,0.274046350454146,0.263920000232455,0.205177728450751
"2",1,1,0.54009811570486,0.491520972334549,0.354040404040406,0.286747474747475,0.282560535474544,0.288469407874918,0.295099660808003,0.213566990290757
"3",1,1,0.543896679434933,0.506786796569076,0.346545454545457,0.276868686868687,0.300177294789276,0.272195967458112,0.27597470780988,0.208471963518509
"4",1,1,0.539730981721892,0.503516160819379,0.378404040404042,0.251010101010101,0.293399379990086,0.279102580428674,0.305331620866283,0.224398314751813
"5",1,1,0.540116942840691,0.498049384249086,0.355434343434345,0.276141414141414,0.30818949665032,0.27674041305712,0.309470042018378,0.224071294846513
"6",1,1,0.537468290097495,0.501716245228846,0.352101010101012,0.271616161616162,0.302174808202989,0.283198035050391,0.309454751422678,0.209179533085283
"7",1,1,0.543477017025073,0.491489693186582,0.355333333333335,0.282909090909091,0.300283115484683,0.283192598874596,0.286136994630977,0.214832573416406
"8",1,1,0.54121259780629,0.496253811646017,0.357515151515153,0.273838383838384,0.298629171385731,0.278501063378397,0.283384051429063,0.216286727120754
"9",1,1,0.541689594428562,0.497030071134009,0.347737373737376,0.293434343434343,0.288980209462367,0.27701297739288,0.276798203800201,0.215281800915289
"10",1,1,0.538097816436994,0.506342977299817,0.362626262626265,0.277030303030303,0.282092531481584,0.289296610336677,0.298479821411908,0.213735890397849
"11",1,1,0.540475153895778,0.500353672839001,0.3575797979798,0.276618181818182,0.293993823578877,0.280175600430591,0.290404985442983,0.214500281679392
