"","a_0","s2_0","n_3","s1_1","t1_1","max_0","b_0","i_4","i_3","s_0"
"1",0.224875337135869,0.00365656565656647,0.00367676767676839,0.00286868686868769,0.00579797979797925,0.00513131313131343,0.00422222222222213,0.0058989898989904,0.00385858585858734,0.00323232323232292
"2",0.228571744433649,0.00539393939393962,0.00517171717171638,0.00317171717171816,0.00331313131313082,0.00309090909091014,0.0036767676767675,0.00591919191919221,0.00501010101010102,0.0027070707070711
"3",0.225005930312266,0.00195959595959672,0.00509090909090937,0.00654545454545563,0.00430303030303003,0.00416161616161703,0.00359595959595926,0.00515151515151557,0.00329292929292957,0.00446464646464573
"4",0.22554387317174,0.00432323232323262,0.00305050505050475,0.00276767676767697,0.00402020202020192,0.00539393939394006,0.0036565656565648,0.0047272727272728,0.00464646464646412,0.00305050505050475
"5",0.228480313167707,0.00385858585858623,0.00309090909090948,0.00361616161616252,0.00412121212121197,0.00210101010100927,0.00436363636363668,0.00571717171717212,0.00555555555555587,0.00563636363636377
"6",0.223646663382261,0.00616161616161659,0.00383838383838464,0.00430303030303036,0.0042626262626263,0.00458585858585814,0.00460606060606039,0.00319191919191986,0.00365656565656614,0.003353535353536
"7",0.227714477444673,0.00476767676767731,0.00242424242424266,0.00686868686868691,0.00446464646464695,0.00436363636363679,0.00406060606060621,0.00456565656565644,0.00325252525252562,0.00498989898989799
"8",0.227452144233638,0.00311111111111206,0.0052323232323237,0.00353535353535284,0.00319191919191875,0.00402020202020237,0.00454545454545485,0.00319191919191864,0.00478787878787879,0.00371717171717167
"9",0.227114686014775,0.00656565656565755,0.0058989898989904,0.00581818181818117,0.00565656565656658,0.00547474747474708,0.0054545454545466,0.00511111111111051,0.00498989898989877,0.00494949494949548
"10",0.229718862284929,0.00539393939393917,0.00278787878787867,0.00137373737373836,0.00486868686868747,0.00569696969696998,0.0027272727272728,0.0035353535353535,0.00258585858585958,0.00456565656565677
"11",0.226812403158151,0.00451919191919243,0.00402626262626284,0.00408686868686906,0.0044,0.00440202020202043,0.00409090909090912,0.00470101010101021,0.00416363636363668,0.00406666666666662
