"","a_0","normalization_0","type_1","i_0","i_4","t1_1","f_0","max_0","i_1","s1_0","b_0","s1_2","n_2","t1_0","i_3","n_3","transformer_0","s2_0","t1_2","n_0","n_1","s_0","s1_3","c_0","transformer_1","s1_1","type_0","min_0","i_5","i_2"
"1",0.224875337135869,0.00658585858585903,0.0061212121212123,0.00599999999999945,0.0058989898989904,0.00579797979797925,0.00517171717171683,0.00513131313131343,0.00448484848484942,0.00422222222222346,0.00422222222222213,0.00420202020201976,0.00410101010101072,0.00397979797979875,0.00385858585858734,0.00367676767676839,0.00367676767676761,0.00365656565656647,0.00361616161616185,0.00331313131313082,0.00327272727272798,0.00323232323232292,0.00315151515151491,0.00307070707070733,0.00298989898989765,0.00286868686868769,0.00282828282828329,0.00248484848484798,0.00228282828282966,0.0018989898989904
"2",0.228571744433649,0.00381818181818139,0.00450505050504968,0.00474747474747472,0.00591919191919221,0.00331313131313082,0.0044040404040393,0.00309090909091014,0.00541414141414176,0.00373737373737426,0.0036767676767675,0.00367676767676806,0.00418181818181729,0.0043636363636379,0.00501010101010102,0.00517171717171638,0.0026464646464649,0.00539393939393962,0.00270707070707088,0.00426262626262564,0.00482828282828363,0.0027070707070711,0.00498989898989877,0.00315151515151479,0.00565656565656647,0.00317171717171816,0.00430303030302936,0.00359595959596026,0.00355555555555542,0.00436363636363601
"3",0.225005930312266,0.00236363636363734,0.00464646464646579,0.00480808080808082,0.00515151515151557,0.00430303030303003,0.0048686868686868,0.00416161616161703,0.00353535353535306,0.00509090909090959,0.00359595959595926,0.00448484848484842,0.00373737373737393,0.00478787878787912,0.00329292929292957,0.00509090909090937,0.00410101010100994,0.00195959595959672,0.00349494949494944,0.00351515151515158,0.00369696969696964,0.00446464646464573,0.0067878787878799,0.00305050505050442,0.00369696969696942,0.00654545454545563,0.00321212121212155,0.00408080808080757,0.00387878787878859,0.00486868686868747
"4",0.22554387317174,0.00507070707070678,0.00525252525252506,0.00323232323232392,0.0047272727272728,0.00402020202020192,0.00329292929292935,0.00539393939394006,0.00274747474747472,0.00365656565656569,0.0036565656565648,0.00424242424242449,0.0029696969696974,0.00375757575757596,0.00464646464646412,0.00305050505050475,0.00680808080808137,0.00432323232323262,0.00367676767676617,0.00258585858585825,0.00325252525252606,0.00305050505050475,0.00414141414141322,0.00173737373737481,0.00535353535353555,0.00276767676767697,0.00321212121212144,0.00476767676767753,0.00377777777777788,0.0049696969696974
"5",0.228480313167707,0.00395959595959661,0.00400000000000111,0.00294949494949526,0.00571717171717212,0.00412121212121197,0.00533333333333297,0.00210101010100927,0.00377777777777788,0.00264646464646401,0.00436363636363668,0.00595959595959605,0.00492929292929367,0.00244444444444414,0.00555555555555587,0.00309090909090948,0.00511111111111118,0.00385858585858623,0.00347474747474752,0.00355555555555609,0.00573737373737382,0.00563636363636377,0.00484848484848521,0.00498989898989821,0.00365656565656558,0.00361616161616252,0.00408080808080813,0.00292929292929345,0.00454545454545485,0.00359595959596026
"6",0.223646663382261,0.00319191919191975,0.00515151515151591,0.00391919191919288,0.00319191919191986,0.0042626262626263,0.00428282828282844,0.00458585858585814,0.00484848484848477,0.00420202020202032,0.00460606060606039,0.00551515151515192,0.00294949494949492,0.00375757575757618,0.00365656565656614,0.00383838383838464,0.00321212121212155,0.00616161616161659,0.00359595959596015,0.00472727272727191,0.0048888888888885,0.003353535353536,0.00480808080808082,0.00509090909090826,0.00399999999999856,0.00430303030303036,0.00282828282828274,0.00379797979797958,0.00232323232323328,0.00254545454545496
"7",0.227714477444673,0.00339393939393973,0.00290909090909086,0.00583838383838398,0.00456565656565644,0.00446464646464695,0.00155555555555587,0.00436363636363679,0.00521212121212045,0.00383838383838409,0.00406060606060621,0.00565656565656569,0.00511111111111096,0.00636363636363624,0.00325252525252562,0.00242424242424266,0.00234343434343376,0.00476767676767731,0.00244444444444414,0.0036565656565658,0.00531313131313227,0.00498989898989799,0.0039191919191921,0.00286868686868691,0.00345454545454593,0.00686868686868691,0.00422222222222124,0.00351515151515147,0.00424242424242349,0.00307070707070756
"8",0.227452144233638,0.0054141414141422,0.0050909090909087,0.0048686868686868,0.00319191919191864,0.00319191919191875,0.00426262626262697,0.00402020202020237,0.00474747474747517,0.0028484848484851,0.00454545454545485,0.00175757575757562,0.00391919191919243,0.00412121212121219,0.00478787878787879,0.0052323232323237,0.00301010101010191,0.00311111111111206,0.00284848484848543,0.00484848484848455,0.00418181818181884,0.00371717171717167,0.00454545454545452,0.00254545454545518,0.00466666666666693,0.00353535353535284,0.00359595959596026,0.00646464646464728,0.00501010101010002,0.00274747474747516
"9",0.227114686014775,0.00369696969697053,0.00218181818181795,0.00256565656565688,0.00511111111111051,0.00565656565656658,0.00478787878787912,0.00547474747474708,0.00440404040404085,0.00375757575757674,0.0054545454545466,0.00478787878787845,0.00234343434343343,0.0037979797979798,0.00498989898989877,0.0058989898989904,0.00468686868686841,0.00656565656565755,0.00242424242424288,0.00361616161616174,0.00355555555555653,0.00494949494949548,0.00389898989899051,0.00288888888888783,0.00470707070707099,0.00581818181818117,0.0034141414141412,0.00323232323232314,0.0046464646464649,0.00422222222222313
"10",0.229718862284929,0.00363636363636421,0.00438383838383904,0.00282828282828318,0.0035353535353535,0.00486868686868747,0.00189898989898984,0.00569696969696998,0.00460606060606072,0.00365656565656547,0.0027272727272728,0.00432323232323217,0.00385858585858634,0.00464646464646468,0.00258585858585958,0.00278787878787867,0.00434343434343565,0.00539393939393917,0.0051111111111104,0.00529292929292902,0.00527272727272698,0.00456565656565677,0.00383838383838453,0.00254545454545485,0.00226262626262663,0.00137373737373836,0.00488888888888861,0.00428282828282911,0.00387878787878837,0.00395959595959572
