"","kase_1","p_12","k_96","p_4","k_74","k_70","p_13","kase_6","k_80","k_88"
"1",1,0.533584905660377,0.52433962264151,0.470246865920111,0.476996935423404,0.477277991847661,0.430037735849057,0.344040404040404,0.245109448339349,0.256553472180394
"2",1,0.535245283018868,0.534603773584906,0.476844762628364,0.474143454077018,0.472827683042098,0.468905660377359,0.355737373737374,0.25071664352596,0.245341118997997
"3",1,0.515622641509434,0.522415094339622,0.47869426960473,0.47403854494059,0.474366169175357,0.44811320754717,0.374303030303031,0.252817159643586,0.244603721117343
"4",1,0.538792452830188,0.524339622641509,0.473139757884847,0.471300870918712,0.473306104105115,0.447773584905661,0.3369898989899,0.258255322139599,0.245123644143004
"5",1,0.535584905660377,0.52,0.474353499764792,0.474185403613667,0.475495534645992,0.442641509433962,0.347818181818182,0.250455865964588,0.242551588545016
"6",1,0.508792452830189,0.535471698113207,0.47703807790531,0.47750642368846,0.47682421233412,0.446792452830188,0.33779797979798,0.24631303125962,0.250610310202904
"7",1,0.533094339622642,0.51777358490566,0.481839827582645,0.475129131022927,0.475649578475312,0.442037735849057,0.348888888888889,0.246799643703075,0.254371763372276
"8",1,0.535622641509434,0.505320754716981,0.475910301774334,0.474023910551192,0.472555811649586,0.434377358490566,0.342949494949495,0.250119559501911,0.248763012443855
"9",1,0.547132075471698,0.518867924528302,0.477176736394725,0.474270628730007,0.474058659331802,0.447471698113208,0.369979797979799,0.252387447432126,0.249527405606263
"10",1,0.519849056603773,0.518716981132076,0.475290511748881,0.472252803154065,0.475328561609818,0.438679245283019,0.336363636363637,0.247821784819072,0.253476617814358
"11",1,0.530332075471698,0.522184905660377,0.476053461120874,0.474384810612004,0.474769030621686,0.444683018867925,0.349486868686869,0.250079590632889,0.249092265442341
