"","nx_0","i_3","s_1","k_0","s_3","k_6","i_1","j_3","j_4","Arg_0","i_0","s_2","s_0","k_5","i_2","j_2","B_0","B_1","j_0","k_1","d_3","k_4","k_3","j_1","d_2","d_1","d_0","k_2","k_10","k_11","i_5","i_4","j_6","i_7","j_5","i_6","k_7","j_8","i_8","j_7","k_9","k_8"
"1",0.514303030303031,0.0129292929292922,0.0101212121212108,0.00862626262626182,0.00834343434343332,0.00793939393939325,0.00781818181818072,0.00771717171717162,0.0076565656565647,0.00765656565656436,0.00739393939393873,0.00739393939393806,0.00737373737373714,0.00705050505050475,0.00686868686868725,0.00686868686868691,0.00666666666666571,0.0064646464646454,0.00618181818181751,0.00616161616161548,0.00585858585858523,0.00569696969696987,0.00557575757575679,0.00531313131313049,0.00511111111111051,0.00476767676767731,0.00430303030303036,0.004141414141414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.538343434343434,0.0108080808080799,0.00701010101010069,0.0083434343434341,0.00997979797979798,0.00767676767676606,0.0101010101010093,0.00785858585858445,0.00852525252525216,0.0102626262626259,0.00753535353535273,0.00713131313131299,0.00674747474747373,0.00709090909090693,0.0103232323232316,0.00777777777777644,0.00644444444444359,0.00690909090908975,0.00496969696969618,0.00862626262626232,0.00450505050505001,0.00420202020201965,0.00725252525252562,0.00921212121212039,0.00678787878787801,0.00666666666666643,0.00767676767676684,0.0072929292929288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.512323232323233,0.00721212121212034,0.00626262626262564,0.00329292929292924,0.00488888888888861,0.00727272727272599,0.00767676767676717,0.0056161616161613,0.00795959595959539,0.00470707070707022,0.00652525252525138,0.009636363636363,0.00486868686868613,0.0092525252525244,0.00773737373737327,0.00892929292929179,0.00511111111110996,0.00608080808080758,0.00834343434343321,0.00654545454545352,0.00741414141414076,0.00941414141414099,0.00650505050504957,0.00915151515151424,0.0068686868686868,0.0046666666666666,0.00684848484848422,0.00727272727272688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.527474747474747,0.00719191919191797,0.00727272727272632,0.00799999999999934,0.00947474747474686,0.00915151515151524,0.00723232323232326,0.00682828282828274,0.00606060606060477,0.00608080808080758,0.0113535353535341,0.00650505050505013,0.00686868686868658,0.00676767676767553,0.00832323232323173,0.0057171717171709,0.00490909090908942,0.00385858585858567,0.00947474747474658,0.010222222222222,0.00822222222222124,0.00523232323232226,0.00739393939393851,0.00725252525252462,0.0102222222222204,0.0082626262626263,0.00595959595959539,0.00620202020201954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.519131313131313,0.00812121212121053,0.0056767676767665,0.00410101010100938,0.00458585858585847,0.00507070707070612,0.00593939393939347,0.00771717171717146,0.00529292929292913,0.00567676767676695,0.0085050505050499,0.00660606060606006,0.00309090909090803,0.00866666666666593,0.00575757575757585,0.00814141414141412,0.0100404040404045,0.00557575757575746,0.00913131313131221,0.007030303030302,0.0108686868686858,0.00856565656565489,0.00474747474747472,0.00919191919191847,0.00478787878787768,0.00650505050504968,0.00834343434343371,0.00753535353535373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.510141414141414,0.00626262626262597,0.00579797979797958,0.0053737373737377,0.00498989898989799,0.00551515151515136,0.0087474747474745,0.00727272727272688,0.00595959595959517,0.00575757575757557,0.00765656565656514,0.00496969696969651,0.00424242424242405,0.0036161616161613,0.00662626262626176,0.00721212121212078,0.00577777777777777,0.00868686868686752,0.0107878787878772,0.00931313131313127,0.0100808080808069,0.00587878787878748,0.00773737373737315,0.0116363636363623,0.00713131313131288,0.00892929292929168,0.00575757575757518,0.00698989898989866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0.517696969696969,0.00648484848484898,0.00777777777777833,0.00525252525252395,0.006424242424242,0.00351515151515214,0.0066464646464639,0.00856565656565555,0.00496969696969674,0.00571717171717201,0.00741414141414143,0.00737373737373609,0.0108484848484835,0.00561616161616019,0.00379797979797836,0.01,0.00349494949494877,0.00577777777777755,0.00943434343434224,0.00456565656565588,0.00569696969696976,0.00591919191919255,0.00597979797979831,0.0102424242424235,0.00616161616161448,0.00793939393939325,0.00872727272727192,0.00288888888888839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0.535131313131313,0.0064444444444447,0.0058989898989894,0.0112121212121197,0.0071111111111104,0.00634343434343343,0.00505050505050408,0.00759595959595971,0.00593939393939347,0.00486868686868669,0.00597979797979753,0.00381818181818094,0.00672727272727291,0.00335353535353455,0.00729292929292868,0.00597979797979731,0.00624242424242372,0.0104444444444431,0.00630303030302992,0.00620202020202021,0.0107474747474739,0.00587878787878693,0.00769696969696809,0.00761616161616041,0.00763636363636194,0.00666666666666604,0.00660606060606017,0.00612121212121197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.519454545454546,0.00434343434343387,0.00905050505050409,0.00608080808080691,0.00644444444444403,0.00747474747474663,0.00662626262626276,0.00674747474747373,0.010383838383837,0.00478787878787856,0.00474747474747461,0.00717171717171738,0.00644444444444359,0.00729292929292913,0.00698989898989866,0.00890909090909109,0.00650505050505046,0.00745454545454483,0.00440404040404074,0.0063838383838376,0.00523232323232226,0.00797979797979731,0.00844444444444403,0.00666666666666532,0.00620202020201932,0.00583838383838409,0.0063838383838376,0.0075959595959596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0.536242424242424,0.00686868686868647,0.00408080808080769,0.00610101010100994,0.00618181818181796,0.00880808080808004,0.00414141414141389,0.00981818181818062,0.00644444444444403,0.00608080808080746,0.008848484848484,0.00686868686868591,0.00654545454545419,0.0071515151515148,0.00701010101009991,0.00430303030303059,0.00404040404040329,0.00753535353535417,0.00486868686868569,0.00917171717171772,0.006707070707069,0.00872727272727258,0.00741414141414054,0.00701010101010069,0.00713131313131243,0.00298989898989954,0.00967676767676628,0.00385858585858556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
