"","b_0","i_5","s_1","min_0","s_0","i_4","n_1","transformer_1","type_0","f_0","i_1","i_2","n_0","normalization_0","type_1","i_3","n_2","max_0","a_0","transformer_0","i_0"
"1",0.466446034987314,0.00808080808080847,0.00767676767676795,0.00717171717171683,0.0069898989898991,0.00670707070707022,0.0066868686868703,0.00652525252525282,0.00650505050505035,0.00561616161616207,0.00505050505050386,0.0049494949494947,0.00462626262626298,0.00456565656565688,0.00454545454545474,0.00450505050505101,0.00430303030303003,0.0042424242424236,0.00420202020202065,0.00345454545454504,0.00333333333333397
"2",0.470062698669282,0.00585858585858667,0.00654545454545385,0.00591919191919255,0.00634343434343465,0.0036767676767685,0.0046666666666666,0.00498989898989943,0.00309090909090848,0.00739393939393962,0.00472727272727325,0.00379797979797913,0.00305050505050519,0.00525252525252518,0.00830303030303081,0.00826262626262642,0.00387878787878848,0.00505050505050531,0.00559595959595938,0.00389898989898974,0.00541414141414109
"3",0.466768023785493,0.00638383838383838,0.00284848484848466,0.00470707070707121,0.0045252525252526,0.00626262626262608,0.00781818181818117,0.006424242424243,0.00634343434343398,0.00515151515151502,0.00799999999999934,0.00438383838383893,0.00416161616161637,0.00472727272727225,0.00606060606060688,0.00753535353535373,0.00301010101010213,0.00597979797979886,0.00353535353535328,0.00418181818181829,0.00353535353535284
"4",0.467196810205646,0.00553535353535295,0.00268686868686874,0.00549494949494911,0.00608080808080791,0.00444444444444392,0.00757575757575746,0.00775757575757574,0.00252525252525215,0.00551515151515125,0.00444444444444403,0.0043838383838386,0.00658585858585792,0.00353535353535372,0.0073333333333333,0.00551515151515158,0.00406060606060632,0.00307070707070789,0.00466666666666693,0.00624242424242349,0.00844444444444492
"5",0.470514739521281,0.00747474747474819,0.00599999999999978,0.00393939393939391,0.00549494949494933,0.00783838383838398,0.0046868686868683,0.00565656565656569,0.00521212121212178,0.0044848484848482,0.00591919191919155,0.00608080808080869,0.00397979797979775,0.00553535353535306,0.0063838383838376,0.00549494949494944,0.00402020202020203,0.00466666666666604,0.00523232323232281,0.0051919191919203,0.0065050505050499
"6",0.471669374552026,0.00335353535353489,0.00678787878787956,0.00395959595959616,0.00511111111111096,0.0042424242424246,0.00622222222222302,0.00591919191919188,0.00844444444444448,0.00531313131313194,0.00284848484848454,0.00745454545454594,0.00505050505050464,0.00838383838383794,0.00424242424242482,0.00492929292929312,0.00848484848484876,0.00658585858585736,0.00597979797979753,0.00323232323232425,0.00478787878787845
"7",0.463769950914331,0.00294949494949481,0.00648484848484887,0.00521212121212078,0.00331313131313149,0.00347474747474708,0.00694949494949548,0.00511111111111096,0.00717171717171794,0.00624242424242438,0.00531313131313171,0.00375757575757596,0.00406060606060632,0.00418181818181862,0.00579797979798002,0.00632323232323329,0.00662626262626242,0.00466666666666693,0.0038787878787877,0.00686868686868691,0.00515151515151557
"8",0.466680780234344,0.00824242424242383,0.00385858585858545,0.00430303030303014,0.00705050505050508,0.00569696969696976,0.00676767676767687,0.00442424242424144,0.00434343434343365,0.00571717171717179,0.00345454545454604,0.00420202020201943,0.00549494949494989,0.00460606060606117,0.0078383838383842,0.00557575757575857,0.00519191919191997,0.00288888888888983,0.00533333333333352,0.00509090909090892,0.00543434343434379
"9",0.465226277432825,0.00492929292929212,0.00577777777777788,0.00549494949495,0.00486868686868769,0.00533333333333308,0.00595959595959605,0.00274747474747494,0.00311111111110951,0.00664646464646457,0.0063232323232334,0.00670707070707055,0.00573737373737415,0.00505050505050597,0.00743434343434346,0.00684848484848477,0.00527272727272787,0.00543434343434279,0.008565656565656,0.00684848484848377,0.0057171717171719
"10",0.465578414215875,0.008424242424243,0.00723232323232359,0.00555555555555531,0.00573737373737337,0.00541414141414054,0.00729292929293013,0.00428282828282822,0.0091515151515158,0.00381818181818172,0.00587878787878793,0.0046060606060605,0.00866666666666682,0.0034343434343439,0.00531313131313071,0.00743434343434402,0.00381818181818228,0.00951515151515125,0.00430303030303092,0.00490909090909153,0.00541414141414276
