"","j_9","i_15","i_17","j_8","i_16","j_10","i_6","i_23","i_39","j_0","s_11","j_19","i_43","j_11","i_38","i_13","j_7","k_5","s_3","k_0","k_15","k_14","i_5","j_12","i_44","j_1","nrm_6","i_10","i_30","i_32","k_4","k_13","nrm_1","k_10","i_25","j_28","X_2","i_33","j_27","k_2","k_12","j_21","i_42","j_25","j_22","s_5","i_4","i_26","j_26","s_8","j_2","s_4","j_17","nrm_3","j_3","B_1","j_13","i_24","i_37","k_8","i_20","i_34","i_41","s_0","i_14","i_35","i_28","i_21","j_23","j_14","i_7","k_9","i_40","k_16","i_12","s_10","X_0","i_2","j_20","s_2","i_29","s_7","nrm_0","j_24","i_11","i_19","k_6","j_16","j_4","nrm_4","X_1","B_0","s_6","k_17","nrm_5","i_27","i_1","k_11","j_6","i_22","k_7","k_3","k_1","i_3","j_5","j_18","nx_0","i_8","i_31","s_9","i_9","i_0","nrm_2","A_0","s_1","i_36","j_15","i_18"
"1",0.422570214695715,0.343636363636365,0.337285714285715,0.119141342457868,0.00957142857142801,0.00940399571343864,0.00458585858585869,0.00442424242424289,0.00432323232323262,0.00430303030303059,0.00422222222222324,0.00422222222222235,0.00416161616161703,0.00414141414141489,0.00402020202020203,0.00397979797979753,0.00389898989898907,0.00385858585858623,0.0038383838383832,0.00381818181818228,0.00375757575757663,0.0037575757575754,0.00373737373737426,0.00365656565656514,0.00359595959595937,0.00357575757575823,0.00355555555555509,0.00351515151515047,0.00349494949494977,0.00349494949494955,0.00347474747474774,0.00347474747474763,0.00347474747474752,0.0034545454545456,0.00343434343434568,0.00339393939393928,0.00335353535353511,0.00335353535353444,0.00333333333333197,0.00331313131313227,0.00325252525252451,0.00323232323232303,0.00317171717171805,0.00315151515151446,0.00313131313131376,0.00313131313131243,0.00309090909090948,0.00307070707070689,0.00301010101010069,0.00298989898989832,0.00290909090909119,0.00288888888888916,0.00288888888888839,0.00286868686868702,0.00280808080808159,0.00280808080808037,0.00278787878787845,0.0027474747474755,0.00274747474747516,0.00272727272727336,0.00272727272727269,0.00270707070707121,0.0027070707070711,0.00266666666666793,0.00266666666666693,0.00266666666666682,0.00266666666666626,0.0026262626262632,0.00262626262626309,0.00262626262626298,0.00260606060605972,0.00258585858586002,0.00258585858585914,0.00256565656565744,0.00256565656565622,0.00254545454545529,0.00252525252525282,0.00252525252525171,0.00250505050505179,0.00250505050505057,0.00248484848484898,0.00246464646464684,0.00246464646464684,0.00246464646464528,0.00244444444444436,0.00240404040403985,0.00240404040403963,0.00234343434343487,0.00230303030303014,0.00228282828282789,0.00226262626262708,0.00226262626262619,0.00224242424242471,0.00224242424242427,0.00224242424242382,0.00224242424242382,0.00222222222222246,0.00222222222222224,0.00222222222222201,0.0022222222222219,0.00220202020202032,0.00220202020202021,0.00218181818181884,0.00216161616161603,0.00210101010101049,0.00210101010100983,0.00208080808080857,0.00208080808080779,0.0020404040404034,0.00197979797979775,0.00195959595959694,0.00193939393939391,0.00187878787878915,0.00169696969696909,0.00153535353535406,0.0014949494949501,0.00109090909090936,0
"2",0.418593730865994,0.327919191919193,0.350642857142857,0.126243086058296,0.00749999999999973,0.0108714287758412,0.00240404040404063,0.00395959595959605,0.00155555555555509,0.00410101010101072,0.0027676767676782,0.00153535353535239,0.00321212121212167,0.00284848484848466,0.00270707070707066,0.00240404040403963,0.00240404040403996,0.00317171717171727,0.0031515151515159,0.00296969696969829,0.002,0.0023434343434352,0.00379797979797902,0.00329292929293035,0.0038989898989894,0.00246464646464484,0.00185858585858667,0.00355555555555609,0.00189898989898996,0.00313131313131343,0.00311111111111106,0.00432323232323251,0.00212121212121164,0.00305050505050519,0.00333333333333274,0.00365656565656614,0.00264646464646434,0.00282828282828373,0.00359595959596071,0.00367676767676817,0.00377777777777866,0.00319191919191886,0.00400000000000067,0.00369696969696975,0.00260606060606017,0.00490909090909053,0.00254545454545341,0.00236363636363723,0.0041010101010106,0.00242424242424255,0.00377777777777855,0.00284848484848477,0.00335353535353555,0.00286868686868669,0.00278787878787812,0.00202020202020303,0.00238383838383849,0.0018989898989894,0.00321212121212078,0.00428282828282844,0.00349494949494911,0.00353535353535439,0.00389898989899007,0.00337373737373781,0.00244444444444425,0.00256565656565655,0.00214141414141344,0.00337373737373714,0.00294949494949504,0.0037171717171719,0.00272727272727269,0.00220202020201987,0.00347474747474752,0.00311111111111106,0.00204040404040351,0.00266666666666759,0.00373737373737382,0.00179797979798013,0.0031515151515138,0.00349494949495022,0.00414141414141433,0.00284848484848521,0.00236363636363623,0.00301010101010157,0.00355555555555687,0.00246464646464728,0.00143434343434279,0.00333333333333263,0.00197979797979786,0.00361616161616163,0.00363636363636455,0.00357575757575845,0.00288888888888972,0.00226262626262597,0.00238383838383771,0.00272727272727213,0.00549494949494966,0.00361616161616263,0.00288888888888905,0.00163636363636388,0.00298989898989954,0.00296969696969784,0.00452525252525193,0.0020808080808089,0.00294949494949515,0.00276767676767575,0.00286868686868658,0.00222222222222246,0.00266666666666737,0.00313131313131176,0.00276767676767575,0.00278787878787845,0.00464646464646423,0.00393939393939358,0.00313131313131254,0.00414141414141467,0.00436363636363746,0
"3",0.424984792113228,0.336101010101012,0.346571428571429,0.123471786563943,0.00750000000000017,0.00659678999804969,0.00210101010100927,0.00438383838383904,0.00428282828282844,0.00199999999999867,0.00486868686868691,0.00230303030303114,0.00266666666666693,0.00363636363636399,0.0031919191919193,0.00355555555555565,0.00179797979797991,0.00436363636363635,0.00210101010101027,0.00258585858585858,0.00242424242424188,0.00242424242424311,0.00349494949494922,0.00177777777777799,0.00210101010101016,0.00179797979797935,0.00228282828282822,0.00288888888888961,0.00458585858585869,0.00266666666666726,0.0023434343434342,0.0026060606060615,0.00347474747474708,0.00268686868686918,0.00339393939393862,0.00315151515151524,0.00359595959595971,0.00286868686868735,0.00335353535353544,0.00284848484848477,0.00226262626262586,0.00258585858585803,0.00224242424242382,0.00303030303030316,0.00371717171717056,0.00280808080808059,0.00286868686868624,0.00272727272727225,0.00339393939393917,0.00307070707070711,0.00286868686868724,0.00250505050505057,0.00268686868686863,0.00329292929292857,0.00274747474747494,0.00317171717171727,0.00282828282828329,0.00375757575757529,0.00349494949494966,0.00387878787878937,0.00323232323232447,0.00351515151515103,0.00351515151515192,0.00189898989898984,0.00276767676767664,0.00193939393939346,0.00349494949494866,0.00337373737373714,0.00357575757575734,0.00325252525252517,0.00292929292929256,0.00212121212121341,0.00337373737373736,0.00264646464646479,0.00268686868686896,0.0035151515151518,0.00323232323232281,0.00349494949494966,0.00345454545454593,0.00327272727272787,0.00434343434343532,0.00230303030303047,0.0018989898989904,0.00313131313131332,0.00369696969696898,0.00303030303030283,0.00197979797979819,0.00288888888888927,0.00442424242424233,0.0033131313131316,0.00240404040403996,0.00365656565656647,0.00327272727272709,0.00242424242424288,0.00272727272727202,0.00327272727272898,0.00220202020202009,0.00296969696969751,0.00313131313131321,0.00301010101010046,0.0021616161616167,0.00341414141414154,0.00234343434343409,0.00351515151515092,0.00305050505050586,0.00282828282828451,0.00212121212121208,0.00339393939393995,0.00290909090909164,0.00216161616161537,0.0024646464646475,0.00341414141414231,0.00319191919191908,0.00448484848484887,0.00305050505050442,0.00301010101010013,0.00400000000000034,0
"4",0.422096323873758,0.32648484848485,0.3455,0.120369010906609,0.00935714285714262,0.00237724738025835,0.00387878787878915,0.00280808080808015,0.00278787878787834,0.00292929292929367,0.00236363636363668,0.00379797979798024,0.00331313131313227,0.00353535353535406,0.00325252525252495,0.00216161616161559,0.00343434343434257,0.00256565656565577,0.00393939393939435,0.00278787878787867,0.00311111111111018,0.00444444444444492,0.00402020202020248,0.00329292929292913,0.00351515151515214,0.00406060606060543,0.00238383838383938,0.00351515151515147,0.00337373737373714,0.00282828282828296,0.00367676767676717,0.00256565656565588,0.00313131313131254,0.00230303030303047,0.0017373737373737,0.00159595959595948,0.003070707070708,0.00226262626262541,0.00359595959595971,0.00224242424242427,0.00280808080808126,0.00319191919191986,0.0040404040404024,0.003353535353536,0.00137373737373814,0.00359595959596004,0.00195959595959594,0.00341414141414309,0.00258585858585758,0.00272727272727313,0.00254545454545529,0.00206060606060543,0.0026060606060605,0.00361616161616207,0.00422222222222179,0.00327272727272709,0.00337373737373592,0.00397979797979775,0.00286868686868713,0.00276767676767686,0.00298989898989921,0.00298989898989821,0.0023636363636369,0.00363636363636388,0.00266666666666626,0.00234343434343531,0.00309090909091025,0.0031313131313131,0.00375757575757507,0.00397979797979864,0.00179797979797958,0.00492929292929278,0.00319191919191963,0.00274747474747439,0.00214141414141422,0.00262626262626264,0.00210101010101005,0.00385858585858656,0.00202020202020159,0.0029696969696974,0.00202020202020237,0.00298989898989765,0.00252525252525182,0.00242424242424366,0.00187878787878837,0.00391919191919254,0.00329292929293001,0.00474747474747439,0.00321212121212067,0.0036363636363631,0.00268686868686963,0.00385858585858589,0.00226262626262697,0.00294949494949548,0.00436363636363779,0.00292929292929311,0.00389898989899018,0.00351515151515192,0.00274747474747505,0.00246464646464617,0.00400000000000023,0.00246464646464672,0.00276767676767653,0.00230303030303036,0.00313131313131232,0.00331313131313105,0.0017777777777781,0.00325252525252451,0.00345454545454427,0.00369696969696942,0.00436363636363635,0.00416161616161637,0.00294949494949415,0.00351515151515136,0.00260606060606161,0.00329292929293024,0.00321212121212155,0
"5",0.433727210182517,0.359414141414144,0.351999999999999,0.121573812477063,0.0084999999999994,0.012040804349457,0.00268686868686896,0.00315151515151402,0.00284848484848454,0.00240404040404141,0.00343434343434346,0.0034747474747473,0.00375757575757596,0.00311111111111162,0.00246464646464606,0.00387878787878815,0.00333333333333319,0.00387878787878848,0.00214141414141455,0.00292929292929345,0.00371717171717179,0.00369696969696953,0.00311111111111251,0.00185858585858667,0.0024848484848492,0.00163636363636377,0.00226262626262552,0.00420202020201965,0.00286868686868669,0.00349494949495077,0.00292929292929334,0.00456565656565699,0.00246464646464684,0.00242424242424155,0.00187878787878781,0.00270707070707032,0.00264646464646412,0.00252525252525304,0.0034343434343449,0.00206060606060587,0.00298989898989976,0.00307070707070711,0.0028686868686878,0.0044444444444447,0.00250505050505057,0.00264646464646434,0.0032323232323237,0.00218181818181806,0.00430303030303125,0.00250505050504946,0.00216161616161648,0.00345454545454515,0.00290909090909108,0.00317171717171749,0.00478787878787923,0.00527272727272809,0.00292929292929334,0.00268686868686785,0.00193939393939302,0.00315151515151579,0.00272727272727313,0.00250505050505012,0.00276767676767709,0.0028686868686868,0.00278787878787867,0.00220202020202198,0.00288888888888961,0.00456565656565633,0.00220202020202109,0.00438383838383782,0.00391919191919232,0.00282828282828318,0.00367676767676839,0.00276767676767664,0.00428282828282855,0.00363636363636322,0.00351515151515192,0.00197979797979819,0.00329292929293012,0.00309090909090981,0.003353535353535,0.00222222222222113,0.00424242424242438,0.00331313131313127,0.00509090909091015,0.00262626262626342,0.00224242424242393,0.00385858585858467,0.00264646464646401,0.00402020202020337,0.00430303030303192,0.00460606060606061,0.00464646464646479,0.00280808080808048,0.00260606060605928,0.00258585858585847,0.00377777777777755,0.00464646464646457,0.00147474747474663,0.00351515151515192,0.00361616161616196,0.00361616161616096,0.00270707070707032,0.00325252525252484,0.0023030303030307,0.00307070707070667,0.00353535353535361,0.00323232323232248,0.00321212121212178,0.00373737373737326,0.00311111111111184,0.00311111111111084,0.00244444444444403,0.0021616161616167,0.00367676767676706,0.00351515151515169,0.00226262626262652,0
"6",0.438400655390731,0.392101010101012,0.34192857142857,0.129147591998157,0.00964285714285651,0.0130457862997755,0.00404040404040396,0.00260606060606072,0.00246464646464617,0.00303030303030305,0.0038181818181825,0.00244444444444425,0.00254545454545374,0.00284848484848366,0.00367676767676828,0.00313131313131354,0.0028888888888895,0.00557575757575768,0.00339393939393962,0.00315151515151446,0.00341414141414231,0.00474747474747628,0.00426262626262641,0.00347474747474774,0.00294949494949548,0.00286868686868902,0.00282828282828274,0.00323232323232392,0.00254545454545529,0.00363636363636466,0.00236363636363612,0.00309090909090792,0.00204040404040418,0.00238383838383727,0.00321212121212155,0.00274747474747494,0.00446464646464706,0.00212121212121197,0.00309090909090837,0.00258585858585891,0.00246464646464561,0.00290909090909142,0.0022424242424256,0.00262626262626264,0.00274747474747594,0.00262626262626275,0.00250505050505068,0.00113131313131309,0.00127272727272687,0.00234343434343431,0.00272727272727413,0.00212121212121219,0.00224242424242405,0.00264646464646512,0.00276767676767675,0.00301010101010135,0.00218181818181673,0.00333333333333374,0.00357575757575712,0.00256565656565622,0.00266666666666726,0.00361616161616196,0.00280808080808059,0.00357575757575868,0.00343434343434323,0.00311111111111206,0.0035757575757569,0.00426262626262697,0.00244444444444492,0.00248484848484787,0.00325252525252528,0.00220202020202032,0.00240404040403974,0.0026666666666666,0.00212121212121208,0.00319191919191941,0.00234343434343287,0.00335353535353455,0.00197979797979853,0.00197979797979664,0.00288888888888894,0.00171717171717256,0.0036969696969692,0.00412121212121364,0.00379797979797947,0.00323232323232336,0.00282828282828307,0.00298989898989932,0.00284848484848466,0.00298989898989921,0.00226262626262597,0.00272727272727402,0.00305050505050575,0.00343434343434412,0.00381818181818228,0.00434343434343365,0.00292929292929278,0.00353535353535306,0.00193939393939346,0.0037979797979798,0.00183838383838386,0.00284848484848454,0.00248484848484887,0.0029494949494947,0.00311111111111118,0.00329292929292979,0.00345454545454482,0.00341414141414098,0.00301010101010102,0.00222222222222201,0.00412121212121197,0.00319191919192008,0.00381818181818128,0.00272727272727302,0.00367676767676672,0.0044848484848472,0.00307070707070634,0
"7",0.437689152096125,0.320161616161617,0.344142857142857,0.14008772046051,0.010285714285714,0.00834164748524757,0.00276767676767731,0.00422222222222279,0.00357575757575768,0.00129292929292979,0.0043636363636369,0.0014949494949501,0.00280808080808093,0.00408080808080891,0.00369696969697142,0.00262626262626253,0.0013737373737378,0.00444444444444392,0.00208080808080702,0.00462626262626287,0.0038383838383842,0.00317171717171805,0.00292929292929223,0.00383838383838331,0.00496969696969674,0.00212121212121186,0.00381818181818205,0.00119191919192008,0.00206060606060521,0.00206060606060521,0.00288888888888927,0.00389898989899018,0.00214141414141433,0.00286868686868813,0.00519191919191941,0.00385858585858523,0.00260606060606117,0.00369696969696975,0.00329292929293001,0.00436363636363668,0.00282828282828285,0.0024848484848492,0.00331313131313116,0.00319191919192019,0.00420202020201987,0.00238383838383971,0.0026464646464649,0.00254545454545552,0.00161616161616196,0.00252525252525349,0.00282828282828218,0.00347474747474674,0.00177777777777777,0.0033333333333333,0.00311111111111151,0.00238383838383904,0.00274747474747428,0.00173737373737359,0.00214141414141311,0.0020808080808068,0.00315151515151502,0.00288888888888883,0.00177777777777843,0.00375757575757585,0.00317171717171627,0.00406060606060588,0.00424242424242505,0.00228282828282811,0.00246464646464684,0.00313131313131321,0.00420202020202021,0.0021818181818184,0.00305050505050497,0.0040808080808078,0.0022222222222229,0.00511111111111129,0.00206060606060576,0.00189898989898929,0.0024646464646465,0.00319191919191908,0.00468686868686918,0.00276767676767775,0.00363636363636444,0.00339393939393995,0.00515151515151502,0.00361616161616207,0.00426262626262697,0.00365656565656547,0.00296969696969673,0.00367676767676817,0.0033939393939395,0.00357575757575868,0.00450505050505157,0.00377777777777788,0.00389898989899029,0.00177777777777799,0.00236363636363679,0.00258585858585891,0.00311111111111195,0.00286868686868702,0.00246464646464606,0.00420202020202076,0.00244444444444358,0.00232323232323239,0.00349494949494944,0.00363636363636322,0.00294949494949448,0.00337373737373725,0.0026666666666666,0.00319191919191897,0.0040606060606061,0.00284848484848454,0.0016767676767675,0.00137373737373647,0.0038383838383842,0.00298989898989876,0.00385858585858678,0
"8",0.444170802856064,0.325696969696971,0.363642857142856,0.120518929945098,0.00699999999999901,0.0108475655804017,0.00496969696969773,0.00367676767676672,0.0031919191919193,0.00373737373737348,0.00341414141414154,0.0025050505050509,0.00246464646464661,0.00412121212121297,0.00155555555555587,0.00197979797979708,0.00284848484848488,0.00298989898989954,0.00274747474747472,0.00177777777777766,0.00232323232323317,0.00280808080807993,0.0034343434343429,0.00446464646464706,0.00240404040404096,0.0040202020202027,0.00400000000000078,0.0027272727272728,0.00272727272727291,0.00488888888888894,0.00220202020202009,0.00240404040404096,0.00339393939393995,0.00274747474747461,0.00280808080808115,0.0025454545454564,0.00250505050505012,0.00274747474747528,0.00448484848484909,0.00321212121212144,0.00222222222222213,0.00191919191919232,0.00220202020202054,0.00252525252525271,0.00305050505050553,0.00307070707070667,0.00294949494949437,0.00327272727272698,0.00333333333333452,0.00189898989899129,0.00284848484848466,0.0020202020202027,0.00385858585858512,0.00339393939393917,0.00337373737373736,0.0017171717171709,0.00339393939393962,0.00296969696969707,0.00321212121212211,0.00335353535353566,0.00345454545454527,0.00335353535353511,0.00206060606060654,0.00317171717171638,0.00254545454545607,0.00317171717171705,0.00220202020202054,0.0046262626262622,0.00286868686868702,0.00252525252525293,0.00214141414141411,0.00266666666666748,0.00274747474747516,0.00230303030302992,0.00387878787878848,0.00478787878787956,0.00402020202020203,0.00290909090909119,0.00317171717171616,0.00288888888888772,0.00280808080807982,0.00179797979798002,0.00264646464646567,0.00232323232323151,0.00359595959596004,0.00501010101010158,0.00238383838383882,0.00335353535353422,0.00216161616161636,0.00274747474747539,0.00246464646464606,0.00191919191919165,0.00327272727272698,0.00448484848484909,0.00155555555555653,0.00381818181818228,0.00226262626262719,0.0024040404040403,0.00197979797979841,0.00331313131313149,0.00351515151515203,0.00236363636363668,0.00193939393939346,0.00216161616161614,0.00276767676767697,0.00351515151515169,0.00363636363636388,0.00321212121212167,0.00377777777777777,0.00236363636363623,0.00272727272727358,0.00278787878787878,0.00301010101010168,0.00315151515151535,0.00323232323232336,0.00303030303030316,0.0047070707070721,0
"9",0.420615135375147,0.309797979797981,0.338499999999999,0.114625296454202,0.00900000000000034,0.0114772378230609,0.00216161616161648,0.00254545454545474,0.00367676767676661,0.00264646464646467,0.00315151515151546,0.00248484848484776,0.0026666666666666,0.00375757575757629,0.00230303030303092,0.00240404040404152,0.00210101010100994,0.0022222222222209,0.00301010101010024,0.0020606060606061,0.00482828282828329,0.00292929292929367,0.00282828282828218,0.00286868686868713,0.00391919191919299,0.00173737373737404,0.00375757575757563,0.00282828282828318,0.00301010101010213,0.00294949494949415,0.00375757575757574,0.00272727272727225,0.00385858585858512,0.0029494949494957,0.00402020202020159,0.00228282828282811,0.00157575757575801,0.00206060606060599,0.00305050505050453,0.00377777777777799,0.0037575757575764,0.00337373737373703,0.00232323232323328,0.00250505050505101,0.0044646464646475,0.00296969696969684,0.00309090909090926,0.00250505050505101,0.00408080808080891,0.00189898989899095,0.00365656565656503,0.00284848484848643,0.00442424242424178,0.0023838383838386,0.00323232323232248,0.00256565656565644,0.0026262626262642,0.00307070707070756,0.00216161616161581,0.00232323232323295,0.00246464646464717,0.00270707070707155,0.00442424242424289,0.0028282828282824,0.00175757575757607,0.00379797979798047,0.0031111111111114,0.00202020202020248,0.00311111111111095,0.00331313131313138,0.00226262626262697,0.00242424242424255,0.00286868686868669,0.00371717171717212,0.0016969696969702,0.00133333333333274,0.00197979797979819,0.00139393939393984,0.00280808080808115,0.00313131313131365,0.0036565656565658,0.00286868686868691,0.00272727272727313,0.00341414141414131,0.00234343434343498,0.00339393939393984,0.00246464646464617,0.00319191919191875,0.0023434343434352,0.00266666666666693,0.00361616161616152,0.00313131313131398,0.00349494949494999,0.00296969696969673,0.00307070707070789,0.0032929292929299,0.00183838383838442,0.00272727272727336,0.00317171717171683,0.00206060606060643,0.00248484848484753,0.00428282828282867,0.00204040404040451,0.00163636363636455,0.00288888888888927,0.00450505050504946,0.00323232323232348,0.00296969696969629,0.00187878787878848,0.00278787878787856,0.00244444444444447,0.00272727272727247,0.00301010101009991,0.00292929292929278,0.00187878787878704,0.00286868686868669,0.00228282828282889,0
"10",0.445253403891121,0.361171717171719,0.370571428571428,0.120476279759437,0.00714285714285734,0.00909438156277331,0.00169696969696975,0.00363636363636421,0.00234343434343487,0.0026262626262632,0.00250505050504979,0.00359595959595915,0.00311111111111162,0.00371717171717245,0.00232323232323284,0.0025858585858578,0.00347474747474785,0.00301010101010202,0.0028484848484851,0.00242424242424211,0.0037979797979798,0.00212121212121286,0.00230303030302981,0.00252525252525326,0.0033333333333323,0.00250505050505068,0.00230303030303003,0.00395959595959672,0.00284848484848488,0.00290909090909075,0.00266666666666637,0.00325252525252606,0.00292929292929289,0.00248484848484898,0.0024848484848482,0.0025050505050509,0.00331313131313193,0.00276767676767709,0.00323232323232292,0.00216161616161659,0.00313131313131332,0.00282828282828174,0.00519191919191953,0.00242424242424144,0.00349494949494999,0.00246464646464639,0.00337373737373703,0.00327272727272765,0.00379797979798036,0.00385858585858512,0.00385858585858623,0.00246464646464661,0.00319191919191864,0.00397979797979786,0.00260606060606117,0.00268686868686929,0.0025050505050509,0.00309090909090881,0.00355555555555609,0.00307070707070733,0.00361616161616252,0.00381818181818239,0.00268686868686929,0.004000000000001,0.00208080808080768,0.00355555555555509,0.00307070707070833,0.00321212121212189,0.00406060606060676,0.00258585858585891,0.00303030303030405,0.00359595959596026,0.00303030303030383,0.00292929292929334,0.00177777777777866,0.0037171717171719,0.00492929292929289,0.00260606060606139,0.00197979797979775,0.00321212121212033,0.00357575757575646,0.00307070707070678,0.00397979797979842,0.00387878787878881,0.00256565656565655,0.00331313131313116,0.0022626262626263,0.00357575757575768,0.00434343434343398,0.00238383838383804,0.00424242424242371,0.00258585858585869,0.00363636363636355,0.0027272727272728,0.00381818181818228,0.00280808080808004,0.00264646464646479,0.00317171717171771,0.00262626262626309,0.00303030303030305,0.00315151515151413,0.00303030303030305,0.00430303030303103,0.00169696969697009,0.0035555555555552,0.00397979797979864,0.0045050505050499,0.00420202020202065,0.00248484848484909,0.00290909090909086,0.0028282828282834,0.00292929292929267,0.00379797979797902,0.0046666666666666,0.00412121212121219,0.00270707070707088,0.003070707070707,0
