"","j_1","j_0","g_1","i_2","n_0","i_1","i_5","g_2","i_3","i_4","g_0","i_0","i_7","i_6","i_8","j_2"
"1",0.350646464646465,0.0076161616161613,0.00684848484848555,0.0066868686868683,0.00636363636363679,0.00634343434343487,0.00624242424242383,0.00614141414141434,0.00604040404040407,0.00456565656565755,0.00452525252525171,0.00335353535353566,0,0,0,0
"2",0.345575757575758,0.00830303030303103,0.00547474747474763,0.0032727272727272,0.00444444444444425,0.00789898989899074,0.00395959595959539,0.00513131313131299,0.00466666666666693,0.00547474747474719,0.0057373737373746,0.00711111111111051,0,0,0,0
"3",0.338323232323233,0.00327272727272687,0.00458585858585814,0.00432323232323251,0.00323232323232281,0.00507070707070834,0.00507070707070645,0.00862626262626309,0.00741414141414054,0.00668686868686719,0.00606060606060665,0.00521212121212211,0,0,0,0
"4",0.346282828282829,0.00525252525252595,0.00767676767676806,0.00866666666666593,0.00597979797979686,0.00416161616161692,0.00571717171717234,0.00719191919191964,0.00406060606060565,0.00783838383838464,0.00432323232323184,0.00371717171717156,0,0,0,0
"5",0.351979797979799,0.00513131313131232,0.00795959595959617,0.00404040404040462,0.00735353535353545,0.00513131313131265,0.00379797979797969,0.00517171717171727,0.00369696969696842,0.00252525252525226,0.00444444444444547,0.00531313131313216,0,0,0,0
"6",0.356121212121213,0.0057171717171719,0.00787878787878804,0.00555555555555498,0.00462626262626309,0.0033333333333333,0.0063636363636369,0.00648484848484876,0.00678787878787945,0.0049898989898991,0.0049696969696974,0.00450505050505157,0,0,0,0
"7",0.368424242424243,0.00337373737373681,0.00642424242424244,0.0056161616161613,0.00369696969696898,0.00597979797979875,0.00709090909090904,0.00561616161616207,0.00787878787878815,0.00418181818181884,0.00860606060606006,0.00509090909090948,0,0,0,0
"8",0.339232323232324,0.00721212121212089,0.00860606060606028,0.00387878787878704,0.00654545454545474,0.00616161616161648,0.00612121212121197,0.00555555555555509,0.00612121212121297,0.00422222222222202,0.00751515151515048,0.00612121212121208,0,0,0,0
"9",0.333878787878789,0.00595959595959761,0.00476767676767675,0.00535353535353489,0.00466666666666615,0.00616161616161726,0.00513131313131332,0.00490909090909086,0.00713131313131332,0.00763636363636444,0.00575757575757585,0.00599999999999945,0,0,0,0
"10",0.361838383838385,0.00480808080807937,0.00442424242424289,0.00628282828282845,0.00296969696969662,0.00737373737373781,0.00511111111111084,0.00521212121212111,0.00331313131313093,0.00515151515151424,0.00406060606060621,0.00793939393939402,0,0,0,0
